iter	Logloss
0	0.6459491347
1	0.6095841307
2	0.5791858738
3	0.5554535654
4	0.537170208
5	0.5217737767
6	0.5089338143
7	0.4991174109
8	0.4913553499
9	0.4839775798
10	0.478353829
11	0.4713058559
12	0.4676179088
13	0.4642486688
14	0.4621533172
15	0.4599928827
16	0.458121176
17	0.4568510837
18	0.4554001395
19	0.4539025513
20	0.4521063763
21	0.449393593
22	0.4475146656
23	0.446320986
24	0.4451885353
25	0.4440818886
26	0.4435284753
27	0.4412172953
28	0.4403728066
29	0.4396103147
30	0.4387233166
31	0.4381209192
32	0.4366406616
33	0.436003664
34	0.4351403912
35	0.4342652524
36	0.4329409698
37	0.4321607013
38	0.4316472897
39	0.4307649553
40	0.4304911474
41	0.4300955294
42	0.4293147806
43	0.4288346447
44	0.4279155189
45	0.4266606161
46	0.4255938384
47	0.4250147033
48	0.4241964859
49	0.4230636655
50	0.4222332123
51	0.4214691933
52	0.4208958319
53	0.4205495329
54	0.4197021763
55	0.4191774575
56	0.4185467368
57	0.4178493509
58	0.4174324607
59	0.4167968879
60	0.4154267137
61	0.4144385227
62	0.4139902348
63	0.4134400902
64	0.4131585365
65	0.4129002287
66	0.412034041
67	0.4114244539
68	0.4109782114
69	0.4102601457
70	0.4092218136
71	0.4090590547
72	0.4085773511
73	0.4081189884
74	0.407720206
75	0.4072998163
76	0.4069951251
77	0.4064041351
78	0.4058426284
79	0.4054026345
80	0.4045788315
81	0.4041105647
82	0.4035185586
83	0.4028850145
84	0.4026317545
85	0.4019077071
86	0.401278744
87	0.4004663626
88	0.400066343
89	0.3994976005
90	0.398891299
91	0.3979663389
92	0.3975001051
93	0.3965364328
94	0.3961827502
95	0.3954088096
96	0.3951631255
97	0.3942880677
98	0.3938983877
99	0.393465778
