iter	Passed	Remaining
0	9	958
1	17	861
2	25	823
3	33	798
4	41	781
5	48	765
6	56	752
7	64	740
8	72	730
9	80	722
10	87	711
11	95	702
12	103	692
13	111	683
14	119	674
15	126	665
16	134	657
17	142	648
18	150	639
19	157	631
20	165	623
21	173	616
22	181	608
23	191	606
24	199	599
25	209	597
26	218	590
27	228	587
28	236	578
29	243	569
30	251	559
31	258	549
32	266	540
33	273	531
34	281	523
35	289	514
36	296	505
37	304	497
38	312	489
39	320	480
40	328	472
41	335	463
42	343	455
43	351	447
44	360	440
45	368	432
46	377	425
47	385	417
48	392	409
49	400	400
50	408	392
51	416	384
52	423	375
53	430	367
54	438	358
55	446	350
56	453	342
57	461	334
58	469	326
59	479	319
60	488	312
61	496	304
62	505	297
63	514	289
64	523	281
65	530	273
66	538	265
67	545	256
68	553	248
69	560	240
70	568	232
71	575	223
72	583	215
73	590	207
74	598	199
75	605	191
76	613	183
77	621	175
78	628	167
79	636	159
80	643	151
81	651	142
82	659	134
83	668	127
84	676	119
85	685	111
86	695	103
87	704	96
88	713	88
89	721	80
90	728	72
91	737	64
92	744	56
93	752	48
94	760	40
95	767	31
96	775	23
97	783	15
98	790	7
99	798	0
